FilterType,b,queryTime,targetFpr,n
Cuckoo,4.000000,60.913668,0.010000,500000
Cuckoo,4.000000,60.766416,0.010000,500000
Cuckoo,4.000000,60.806750,0.010000,500000
Cuckoo,4.000000,60.685000,0.010000,500000
Cuckoo,4.000000,60.707500,0.010000,500000
Cuckoo,4.000000,61.537334,0.010000,500000
Cuckoo,4.000000,60.432750,0.010000,500000
Cuckoo,4.000000,60.615500,0.010000,500000
Cuckoo,4.000000,60.527834,0.010000,500000
Cuckoo,4.000000,60.760832,0.010000,500000
Cuckoo,4.000000,62.827834,0.010000,500000
Cuckoo,4.000000,61.832082,0.010000,500000
Cuckoo,4.000000,61.687333,0.010000,1000000
Cuckoo,4.000000,61.742958,0.010000,1000000
Cuckoo,4.000000,62.462834,0.010000,1000000
Cuckoo,4.000000,61.516083,0.010000,1000000
Cuckoo,4.000000,63.864042,0.010000,1000000
Cuckoo,4.000000,61.511875,0.010000,1000000
Cuckoo,4.000000,61.601250,0.010000,1000000
Cuckoo,4.000000,67.535542,0.010000,1000000
Cuckoo,4.000000,61.712541,0.010000,1000000
Cuckoo,4.000000,61.786709,0.010000,1000000
Cuckoo,4.000000,75.993625,0.010000,1000000
Cuckoo,4.000000,61.578000,0.010000,1000000
Cuckoo,4.000000,61.816375,0.010000,1000000
Cuckoo,4.000000,62.194958,0.010000,1000000
Cuckoo,4.000000,61.373916,0.010000,1000000
Cuckoo,4.000000,134.829742,0.010000,5000000
Cuckoo,4.000000,134.461850,0.010000,5000000
Cuckoo,4.000000,135.117008,0.010000,5000000
Cuckoo,4.000000,135.713475,0.010000,5000000
Cuckoo,4.000000,134.279067,0.010000,5000000
Cuckoo,4.000000,134.783558,0.010000,5000000
Cuckoo,4.000000,135.935750,0.010000,5000000
Cuckoo,4.000000,134.088258,0.010000,5000000
Cuckoo,4.000000,135.091892,0.010000,5000000
Cuckoo,4.000000,134.338458,0.010000,5000000
Cuckoo,4.000000,135.608667,0.010000,5000000
Cuckoo,4.000000,139.721058,0.010000,5000000
Cuckoo,4.000000,134.436033,0.010000,5000000
Cuckoo,4.000000,135.884808,0.010000,5000000
Cuckoo,4.000000,134.017250,0.010000,5000000
Cuckoo,4.000000,156.175042,0.010000,10000000
Cuckoo,4.000000,152.798246,0.010000,10000000
Cuckoo,4.000000,151.652367,0.010000,10000000
Cuckoo,4.000000,150.747200,0.010000,10000000
Cuckoo,4.000000,151.847629,0.010000,10000000
Cuckoo,4.000000,152.896500,0.010000,10000000
Cuckoo,4.000000,150.688946,0.010000,10000000
Cuckoo,4.000000,158.071067,0.010000,10000000
Cuckoo,4.000000,151.716013,0.010000,10000000
Cuckoo,4.000000,153.136492,0.010000,10000000
Cuckoo,4.000000,156.355342,0.010000,10000000
Cuckoo,4.000000,150.989162,0.010000,10000000
Cuckoo,4.000000,152.237908,0.010000,10000000
Cuckoo,4.000000,151.234067,0.010000,10000000
Cuckoo,4.000000,152.580537,0.010000,10000000
Cuckoo,8.000000,120.629100,0.010000,10000
Cuckoo,8.000000,120.154200,0.010000,10000
Cuckoo,8.000000,120.358400,0.010000,10000
Cuckoo,8.000000,119.983400,0.010000,10000
Cuckoo,8.000000,120.050000,0.010000,10000
Cuckoo,8.000000,119.570800,0.010000,10000
Cuckoo,8.000000,120.250000,0.010000,10000
Cuckoo,8.000000,119.929200,0.010000,10000
Cuckoo,8.000000,119.895800,0.010000,10000
Cuckoo,8.000000,119.858400,0.010000,10000
Cuckoo,8.000000,119.558300,0.010000,10000
Cuckoo,8.000000,119.650000,0.010000,10000
Cuckoo,8.000000,121.333400,0.010000,10000
Cuckoo,8.000000,119.416600,0.010000,10000
Cuckoo,8.000000,120.129100,0.010000,10000
Cuckoo,8.000000,120.604180,0.010000,50000
Cuckoo,8.000000,121.045000,0.010000,50000
Cuckoo,8.000000,120.539160,0.010000,50000
Cuckoo,8.000000,120.855000,0.010000,50000
Cuckoo,8.000000,121.244160,0.010000,50000
Cuckoo,8.000000,121.385000,0.010000,50000
Cuckoo,8.000000,121.094160,0.010000,50000
Cuckoo,8.000000,120.989160,0.010000,50000
Cuckoo,8.000000,120.630820,0.010000,50000
Cuckoo,8.000000,120.788340,0.010000,50000
Cuckoo,8.000000,120.714160,0.010000,50000
Cuckoo,8.000000,120.808340,0.010000,50000
Cuckoo,8.000000,126.045840,0.010000,50000
Cuckoo,8.000000,122.787500,0.010000,50000
Cuckoo,8.000000,120.840000,0.010000,50000
Cuckoo,8.000000,121.414590,0.010000,100000
Cuckoo,8.000000,121.467090,0.010000,100000
Cuckoo,8.000000,121.344580,0.010000,100000
Cuckoo,8.000000,121.762080,0.010000,100000
Cuckoo,8.000000,131.068750,0.010000,100000
Cuckoo,8.000000,121.810830,0.010000,100000
Cuckoo,8.000000,135.940410,0.010000,100000
Cuckoo,8.000000,144.667920,0.010000,100000
Cuckoo,8.000000,141.436250,0.010000,100000
Cuckoo,8.000000,121.874170,0.010000,100000
Cuckoo,8.000000,121.644170,0.010000,100000
Cuckoo,8.000000,121.616250,0.010000,100000
Cuckoo,8.000000,121.686250,0.010000,100000
Cuckoo,8.000000,121.767910,0.010000,100000
Cuckoo,8.000000,121.944590,0.010000,100000
Cuckoo,8.000000,121.721166,0.010000,500000
Cuckoo,8.000000,126.610084,0.010000,500000
Cuckoo,8.000000,123.257668,0.010000,500000
Cuckoo,8.000000,121.882416,0.010000,500000
Cuckoo,8.000000,121.514250,0.010000,500000
Cuckoo,8.000000,123.820250,0.010000,500000
Cuckoo,8.000000,121.744166,0.010000,500000
Cuckoo,8.000000,121.778332,0.010000,500000
Cuckoo,8.000000,125.587832,0.010000,500000
Cuckoo,8.000000,121.920000,0.010000,500000
Cuckoo,8.000000,122.012250,0.010000,500000
Cuckoo,8.000000,122.005084,0.010000,500000
Cuckoo,8.000000,123.262084,0.010000,500000
Cuckoo,8.000000,121.691750,0.010000,500000
Cuckoo,8.000000,121.719000,0.010000,500000
Cuckoo,8.000000,125.162667,0.010000,1000000
Cuckoo,8.000000,122.183167,0.010000,1000000
Cuckoo,8.000000,122.377833,0.010000,1000000
Cuckoo,8.000000,121.865292,0.010000,1000000
Cuckoo,8.000000,128.687292,0.010000,1000000
Cuckoo,8.000000,126.747291,0.010000,1000000
Cuckoo,8.000000,125.364125,0.010000,1000000
Cuckoo,8.000000,126.834459,0.010000,1000000
Cuckoo,8.000000,122.378458,0.010000,1000000
Cuckoo,8.000000,123.559583,0.010000,1000000
Cuckoo,8.000000,122.454666,0.010000,1000000
Cuckoo,8.000000,122.451459,0.010000,1000000
Cuckoo,8.000000,122.066833,0.010000,1000000
Cuckoo,8.000000,122.051000,0.010000,1000000
Cuckoo,8.000000,123.768208,0.010000,1000000
Cuckoo,8.000000,164.970517,0.010000,5000000
Cuckoo,8.000000,166.169883,0.010000,5000000
Cuckoo,8.000000,164.033742,0.010000,5000000
Cuckoo,8.000000,168.389825,0.010000,5000000
Cuckoo,8.000000,167.650692,0.010000,5000000
Cuckoo,8.000000,164.120917,0.010000,5000000
Cuckoo,8.000000,167.883775,0.010000,5000000
Cuckoo,8.000000,167.272708,0.010000,5000000
Cuckoo,8.000000,162.893275,0.010000,5000000
Cuckoo,8.000000,165.714250,0.010000,5000000
Cuckoo,8.000000,161.484908,0.010000,5000000
Cuckoo,8.000000,168.657275,0.010000,5000000
Cuckoo,8.000000,165.860775,0.010000,5000000
Cuckoo,8.000000,164.804675,0.010000,5000000
Cuckoo,8.000000,167.591933,0.010000,5000000
Cuckoo,8.000000,200.663004,0.010000,10000000
Cuckoo,8.000000,201.494267,0.010000,10000000
Cuckoo,8.000000,200.730221,0.010000,10000000
Cuckoo,8.000000,201.541075,0.010000,10000000
Cuckoo,8.000000,202.504329,0.010000,10000000
Cuckoo,8.000000,200.451117,0.010000,10000000
Cuckoo,8.000000,206.070075,0.010000,10000000
Cuckoo,8.000000,200.752608,0.010000,10000000
Cuckoo,8.000000,201.018317,0.010000,10000000
Cuckoo,8.000000,200.706983,0.010000,10000000
Cuckoo,8.000000,202.884571,0.010000,10000000
Cuckoo,8.000000,201.419658,0.010000,10000000
Cuckoo,8.000000,200.956108,0.010000,10000000
Cuckoo,8.000000,200.117258,0.010000,10000000
Cuckoo,8.000000,200.041754,0.010000,10000000
