FilterType,beta,fpr,targetFpr,iteration
Bloom,1.290000,0.009914,0.010000,1
Bloom,1.290000,0.009810,0.010000,2
Bloom,1.290000,0.010004,0.010000,3
Bloom,1.290000,0.009970,0.010000,4
Bloom,1.290000,0.009981,0.010000,5
Bloom,1.290000,0.010045,0.010000,6
Bloom,1.290000,0.009955,0.010000,7
Bloom,1.290000,0.009957,0.010000,8
Bloom,1.290000,0.009887,0.010000,9
Bloom,1.290000,0.009751,0.010000,10
Bloom,1.290000,0.009975,0.010000,11
Bloom,1.290000,0.009961,0.010000,12
Bloom,1.290000,0.009864,0.010000,13
Bloom,1.290000,0.009866,0.010000,14
Bloom,1.300000,0.009765,0.010000,0
Bloom,1.300000,0.009781,0.010000,1
Bloom,1.300000,0.009851,0.010000,2
Bloom,1.300000,0.010063,0.010000,3
Bloom,1.300000,0.009771,0.010000,4
Bloom,1.300000,0.009758,0.010000,5
Bloom,1.300000,0.009709,0.010000,6
Bloom,1.300000,0.009876,0.010000,7
Bloom,1.300000,0.009808,0.010000,8
Bloom,1.300000,0.009898,0.010000,9
Bloom,1.300000,0.009923,0.010000,10
Bloom,1.300000,0.009758,0.010000,11
Bloom,1.300000,0.009706,0.010000,12
Bloom,1.300000,0.009836,0.010000,13
Bloom,1.300000,0.009928,0.010000,14
