FilterType,b,alpha,n,iteration
Cuckoo,2.000000,0.333826,10000000.000000,10
Cuckoo,2.000000,0.339482,10000000.000000,11
Cuckoo,2.000000,0.289744,10000000.000000,12
Cuckoo,2.000000,0.289982,10000000.000000,13
Cuckoo,2.000000,0.312501,10000000.000000,14
Cuckoo,4.000000,0.478705,10000000.000000,0
Cuckoo,4.000000,0.485902,10000000.000000,1
Cuckoo,4.000000,0.509694,10000000.000000,2
Cuckoo,4.000000,0.477778,10000000.000000,3
Cuckoo,4.000000,0.468704,10000000.000000,4
Cuckoo,4.000000,0.484647,10000000.000000,5
Cuckoo,4.000000,0.488163,10000000.000000,6
Cuckoo,4.000000,0.497880,10000000.000000,7
Cuckoo,4.000000,0.485186,10000000.000000,8
Cuckoo,4.000000,0.522918,10000000.000000,9
Cuckoo,4.000000,0.522825,10000000.000000,10
Cuckoo,4.000000,0.468154,10000000.000000,11
Cuckoo,4.000000,0.503433,10000000.000000,12
Cuckoo,4.000000,0.533883,10000000.000000,13
Cuckoo,4.000000,0.451990,10000000.000000,14
Cuckoo,8.000000,0.601060,10000000.000000,0
Cuckoo,8.000000,0.627893,10000000.000000,1
Cuckoo,8.000000,0.607059,10000000.000000,2
Cuckoo,8.000000,0.628284,10000000.000000,3
Cuckoo,8.000000,0.652558,10000000.000000,4
Cuckoo,8.000000,0.629874,10000000.000000,5
Cuckoo,8.000000,0.616101,10000000.000000,6
Cuckoo,8.000000,0.638410,10000000.000000,7
Cuckoo,8.000000,0.633084,10000000.000000,8
Cuckoo,8.000000,0.623367,10000000.000000,9
Cuckoo,8.000000,0.659741,10000000.000000,10
Cuckoo,8.000000,0.635451,10000000.000000,11
Cuckoo,8.000000,0.606321,10000000.000000,12
Cuckoo,8.000000,0.580675,10000000.000000,13
Cuckoo,8.000000,0.631621,10000000.000000,14
